Timestamp,Source IP,Prediction
2025-04-25 00:53:01,127.0.0.1,🔥 Tấn công
2025-04-25 00:58:07,127.0.0.1,🔥 Tấn công
2025-04-25 00:58:30,127.0.0.1,🔥 Tấn công
2025-04-25 00:58:51,127.0.0.1,🔥 Tấn công
2025-04-25 12:08:23,127.0.0.1,🔥 Tấn công
2025-04-25 12:08:50,127.0.0.1,🔥 Tấn công
2025-04-25 12:26:34,127.0.0.1,✅ Bình thường
2025-04-25 12:26:47,127.0.0.1,✅ Bình thường
2025-04-25 12:31:02,127.0.0.1,✅ Bình thường
2025-04-25 12:31:18,127.0.0.1,✅ Bình thường
2025-04-25 12:32:52,127.0.0.1,✅ Bình thường
2025-04-25 12:33:03,127.0.0.1,✅ Bình thường
2025-04-26 09:22:04,127.0.0.1,✅ Bình thường
2025-04-26 09:22:30,127.0.0.1,✅ Bình thường
2025-04-26 09:23:22,127.0.0.1,✅ Bình thường
2025-04-26 09:37:26,127.0.0.1,✅ Bình thường
2025-04-26 09:39:25,127.0.0.1,✅ Bình thường
2025-04-26 10:16:05,127.0.0.1,✅ Bình thường
2025-04-26 10:16:52,127.0.0.1,✅ Bình thường
2025-04-26 11:37:16,127.0.0.1,✅ Bình thường
2025-04-26 11:37:35,127.0.0.1,✅ Bình thường
2025-04-29 12:49:01,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 12:49:44,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 13:00:06,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 13:00:11,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 13:01:39,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 13:08:41,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 13:08:52,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 13:08:59,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 13:09:12,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 13:58:24,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 13:58:32,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 13:58:41,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 13:58:42,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 13:58:48,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 14:15:37,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 14:15:46,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 14:18:12,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 14:18:17,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 14:18:21,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 14:18:27,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 14:18:31,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 14:20:56,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 14:21:00,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 14:28:44,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 14:29:28,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 14:29:33,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 14:29:35,127.0.0.1,✅ BÌNH THƯỜNG
2025-04-29 14:29:41,127.0.0.1,🔥 TẤN CÔNG
2025-04-29 14:29:51,127.0.0.1,🔥 TẤN CÔNG
